filename,filesize,codec,compression_time,resolution,bitrate_kbps,PSNR,compression_ratio
output_h264_720x480_3000k.mp4,24109831,h264,5.622863292694092,720x480,3000,58.29,0.2624242368185824
output_h264_720x480_3500k.mp4,27456146,h264,5.772412061691284,720x480,3500,60.45,0.2304403538646684
output_h264_352x288_100k.mp4,3295175,h264,2.2668616771698,352x288,100,40.77,1.1801910368948538
output_h264_352x288_200k.mp4,3989079,h264,2.361253261566162,352x288,200,46.68,0.9748957090095233
output_h264_352x288_300k.mp4,4652178,h264,2.400989532470703,352x288,300,49.22,0.8359387796425675
output_h264_352x288_400k.mp4,5371188,h264,2.488474130630493,352x288,400,50.77,0.7240364701440352
output_h264_352x288_500k.mp4,6108749,h264,2.5170340538024902,352x288,500,51.9,0.6366174154479092
output_h264_352x288_750k.mp4,7896396,h264,2.5788896083831787,352x288,750,54.63,0.4924950572387707
output_h264_352x288_1000k.mp4,9593556,h264,2.6361634731292725,352x288,1000,57.68,0.4053696043469179
output_h264_352x288_1250k.mp4,11219951,h264,2.740159273147583,352x288,1250,60.99,0.3466090003423366
output_h264_352x288_1500k.mp4,12777538,h264,2.762951374053955,352x288,1500,63.59,0.30435722437295826
output_h264_352x288_2000k.mp4,15436939,h264,2.887448072433472,352x288,2000,64.14,0.2519240375310157
output_h264_352x288_2500k.mp4,16743173,h264,2.9594931602478027,352x288,2500,64.14,0.23226995265473277
output_h264_352x288_3000k.mp4,17080942,h264,3.384676933288574,352x288,3000,64.14,0.22767690447049116
output_h264_352x288_3500k.mp4,17128018,h264,3.2629265785217285,352x288,3500,64.14,0.22705113925032072
output_h264_176x144_100k.mp4,3278962,h264,2.214664459228516,176x144,100,47.09,0.866750819314161
output_h264_176x144_200k.mp4,3976544,h264,2.373377799987793,176x144,200,52.36,0.7147017611272501
output_h264_176x144_300k.mp4,4663601,h264,1.8950750827789309,176x144,300,56.37,0.6094095528326716
output_h264_176x144_400k.mp4,5291242,h264,1.911473274230957,176x144,400,60.47,0.5371220972316141
output_h264_176x144_500k.mp4,5892055,h264,1.9233031272888184,176x144,500,62.5,0.4823517431524315
output_h264_176x144_750k.mp4,6812037,h264,1.9735307693481443,176x144,750,62.6,0.417208978753345
output_h264_176x144_1000k.mp4,6900171,h264,1.9564058780670168,176x144,1000,62.6,0.411880082392161
output_h264_176x144_1250k.mp4,6912824,h264,1.970503807067871,176x144,1250,62.6,0.4111261909749185
output_h264_176x144_1500k.mp4,6916909,h264,1.9897470474243164,176x144,1500,62.6,0.41088338736276564
output_h264_176x144_2000k.mp4,6920469,h264,1.969499349594116,176x144,2000,62.6,0.41067202237305017
output_h264_176x144_2500k.mp4,6920974,h264,1.9542007446289065,176x144,2500,62.6,0.41064205702838935
output_h264_176x144_3000k.mp4,6921413,h264,1.908316135406494,176x144,3000,62.6,0.41061601149938604
output_h264_176x144_3500k.mp4,6920622,h264,1.967916488647461,176x144,3500,62.6,0.4106629433019171
output_h265_1920x1080_100k.mp4,2874091,h265,27.132298469543457,1920x1080,100,29.3,7.107970137340815
output_h265_1920x1080_200k.mp4,3528693,h265,29.992815494537357,1920x1080,200,39.27,5.789382357717149
output_h265_1920x1080_300k.mp4,4268973,h265,32.65100049972534,1920x1080,300,40.95,4.785449099818622
output_h265_1920x1080_400k.mp4,4985974,h265,34.61210322380066,1920x1080,400,42.25,4.097284301923756
output_h265_1920x1080_500k.mp4,5700096,h265,36.05943441390991,1920x1080,500,43.17,3.5839664805645377
output_h265_1920x1080_750k.mp4,7501322,h265,39.00156331062317,1920x1080,750,44.77,2.723380358822085
output_h265_1920x1080_1000k.mp4,9307349,h265,41.694276332855225,1920x1080,1000,45.74,2.1949271484286235
output_h265_1920x1080_1250k.mp4,11097655,h265,45.25190186500549,1920x1080,1250,46.51,1.8408351133640395
output_h265_1920x1080_1500k.mp4,12895959,h265,48.32181930541992,1920x1080,1500,47.05,1.5841360072562265
output_h265_1920x1080_2000k.mp4,16464938,h265,52.50414490699768,1920x1080,2000,47.98,1.2407549302645415
output_h265_1920x1080_2500k.mp4,20038684,h265,52.98077583312988,1920x1080,2500,48.71,1.0194757799464276
